subject,email_preference
p1,A-mail
p2,A-mail
p3,A-mail
p4,A-mail
p5,A-mail
p6,A-mail
p7,A-mail
p8,A-mail
p9,A-mail
p10,A-mail
p11,A-mail
p12,A-mail
p13,A-mail
p14,A-mail
p15,A-mail
p16,A-mail
p17,A-mail
p18,A-mail
p19,A-mail
p20,A-mail
p21,A-mail
p22,A-mail
p23,A-mail
p24,A-mail
p25,A-mail
p26,A-mail
p27,A-mail
p28,A-mail
p29,A-mail
p30,A-mail
p31,A-mail
p32,A-mail
p33,A-mail
p34,A-mail
p35,A-mail
p36,A-mail
p37,A-mail
p38,A-mail
p39,A-mail
p40,A-mail
p41,A-mail
p42,A-mail
p43,A-mail
p44,A-mail
p45,A-mail
p46,A-mail
p47,B-mail
p48,B-mail
p49,B-mail
p50,B-mail
p51,B-mail
p52,B-mail
p53,B-mail
p54,B-mail
p55,B-mail
p56,B-mail
p57,B-mail
p58,B-mail
p59,B-mail
p60,B-mail
p61,B-mail
p62,B-mail
p63,B-mail
p64,B-mail
p65,B-mail
p66,B-mail
p67,B-mail
p68,B-mail
p69,B-mail
p70,B-mail
p71,B-mail
p72,B-mail
p73,B-mail
p74,B-mail
p75,B-mail
