subject,team,email_preference
p1,X,A-mail
p2,X,A-mail
p3,X,A-mail
p4,X,A-mail
p5,X,A-mail
p6,X,A-mail
p7,X,A-mail
p8,X,A-mail
p9,X,A-mail
p10,X,A-mail
p11,X,A-mail
p12,X,A-mail
p13,X,A-mail
p14,X,A-mail
p15,X,A-mail
p16,X,A-mail
p17,X,A-mail
p18,X,A-mail
p19,X,A-mail
p20,X,A-mail
p21,X,A-mail
p22,X,A-mail
p23,X,A-mail
p24,X,A-mail
p25,X,A-mail
p26,X,A-mail
p27,X,A-mail
p28,X,A-mail
p29,X,A-mail
p30,X,A-mail
p31,X,A-mail
p32,X,A-mail
p33,X,A-mail
p34,X,A-mail
p35,X,A-mail
p36,X,B-mail
p37,X,B-mail
p38,X,B-mail
p39,X,B-mail
p40,X,B-mail
p41,X,B-mail
p42,X,B-mail
p43,X,B-mail
p44,X,B-mail
p45,X,B-mail
p46,X,B-mail
p47,X,B-mail
p48,X,B-mail
p49,X,B-mail
p50,X,B-mail
p51,X,B-mail
p52,X,B-mail
p53,X,B-mail
p54,X,B-mail
p55,X,B-mail
p56,X,B-mail
p57,X,B-mail
p58,X,C-mail
p59,X,C-mail
p60,X,C-mail
p61,X,C-mail
p62,X,C-mail
p63,X,C-mail
p64,X,C-mail
p65,X,C-mail
p66,X,C-mail
p67,X,C-mail
p68,X,C-mail
p69,X,C-mail
p70,X,C-mail
p71,X,C-mail
p72,X,C-mail
p73,X,C-mail
p74,X,C-mail
p75,X,C-mail
p76,Y,A-mail
p77,Y,A-mail
p78,Y,A-mail
p79,Y,A-mail
p80,Y,A-mail
p81,Y,A-mail
p82,Y,A-mail
p83,Y,A-mail
p84,Y,A-mail
p85,Y,A-mail
p86,Y,A-mail
p87,Y,A-mail
p88,Y,A-mail
p89,Y,A-mail
p90,Y,A-mail
p91,Y,A-mail
p92,Y,A-mail
p93,Y,A-mail
p94,Y,A-mail
p95,Y,A-mail
p96,Y,A-mail
p97,Y,B-mail
p98,Y,B-mail
p99,Y,B-mail
p100,Y,B-mail
p101,Y,B-mail
p102,Y,B-mail
p103,Y,B-mail
p104,Y,B-mail
p105,Y,B-mail
p106,Y,B-mail
p107,Y,B-mail
p108,Y,B-mail
p109,Y,B-mail
p110,Y,B-mail
p111,Y,B-mail
p112,Y,B-mail
p113,Y,B-mail
p114,Y,B-mail
p115,Y,B-mail
p116,Y,B-mail
p117,Y,B-mail
p118,Y,B-mail
p119,Y,B-mail
p120,Y,B-mail
p121,Y,B-mail
p122,Y,B-mail
p123,Y,B-mail
p124,Y,B-mail
p125,Y,B-mail
p126,Y,B-mail
p127,Y,B-mail
p128,Y,B-mail
p129,Y,B-mail
p130,Y,B-mail
p131,Y,B-mail
p132,Y,C-mail
p133,Y,C-mail
p134,Y,C-mail
p135,Y,C-mail
p136,Y,C-mail
p137,Y,C-mail
p138,Y,C-mail
p139,Y,C-mail
p140,Y,C-mail
p141,Y,C-mail
p142,Y,C-mail
p143,Y,C-mail
p144,Y,C-mail
p145,Y,C-mail
p146,Y,C-mail
p147,Y,C-mail
p148,Y,C-mail
p149,Y,C-mail
p150,Y,C-mail
